OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed,x,y
7192,12995,65LA,small_airport,Southern Seaplane Airport,29.866078,-90.021608,,,US,US-LA,Belle Chasse,no,65LA,BCS,65LA,http://southernseaplane.com/cms/?page_id=460,https://en.wikipedia.org/wiki/Southern_Seaplane_Airport,,,,3200.0,40.0,ASPH-F,1.0,0.0,-10021159.563,3486347.0083
7421,13202,6B6,small_airport,Minute Man Air Field,42.460298,-71.519031,268.0,,US,US-MA,Stow,no,K6B6,MMN,6B6,https://minutemanairfield.com/,https://en.wikipedia.org/wiki/Minute_Man_Air_Field,,,,2770.0,48.0,ASPH-F,1.0,0.0,-7961462.1129,5230181.1892
7427,13208,6CA3,heliport,Catalina Air-Sea Terminal Heliport,33.7491989136,-118.275001526,5.0,,US,US-CA,San Pedro,no,6CA3,SPQ,6CA3,,,,,,150.0,100.0,ASPH,0.0,0.0,-13166312.9434,3995175.0785
7629,13405,6N5,heliport,East 34th Street Heliport,40.7425994873047,-73.9720993041992,10.0,,US,US-NY,New York,yes,6N5,TSS,6N5,,,,,,37.0,37.0,ASPH-CONC-G,1.0,0.0,-8234536.4274,4974448.9619
7631,13407,6N7,seaplane_base,New York Skyports Inc Seaplane Base,40.735061,-73.972814,,,US,US-NY,New York,yes,,NYS,6N7,,https://en.wikipedia.org/wiki/New_York_Skyports_Inc._Seaplane_Base,QNY,,,10000.0,1000.0,WATER,0.0,0.0,-8234615.987,4973341.4139
7705,13485,6OK6,small_airport,Earl Henry Airport,36.7958984375,-97.3170013428,1054.0,,US,US-OK,Blackwell,no,6OK6,BWL,6OK6,,https://en.wikipedia.org/wiki/Earl_Henry_Airport,,,,2400.0,120.0,TURF-GRVL,0.0,0.0,-10833279.035,4410695.7169
8198,13974,78K,seaplane_base,Yes Bay Lodge Seaplane Base,55.9163017273,-131.800994873,,,US,US-AK,Yes Bay,no,78K,WYB,78K,,,,,,5000.0,2000.0,WATER,0.0,0.0,-14672019.6353,7541771.7081
8221,13997,78WA,small_airport,Center Island Airport,48.4901008606,-122.832000732,115.0,,US,US-WA,Center Island,no,78WA,CWS,78WA,,https://en.wikipedia.org/wiki/Center_Island_Airport,,,,1600.0,100.0,TURF-GRVL,1.0,0.0,-13673595.7746,6188780.9263
8402,14173,7KA,small_airport,Tatitlek Airport,60.871449,-146.690297,62.0,,US,US-AK,Tatitlek,yes,PAKA,TEK,7KA,,https://en.wikipedia.org/wiki/Tatitlek_Airport,,,,3701.0,75.0,GRVL-E,1.0,0.0,-16329489.1664,8596365.533
8660,14453,7WA5,small_airport,Stuart Island Airpark,48.673379,-123.175439,10.0,,US,US-WA,Friday Harbor,no,7WA5,SSW,7WA5,,,,,,2000.0,55.0,TURF,0.0,0.0,-13711827.1477,6219621.275
8774,14559,82CL,small_airport,Fort Bragg Airport,39.472445,-123.795319,71.0,,US,US-CA,Fort Bragg,no,82CL,FOB,82CL,,,,,,1850.0,60.0,ASPH-TURF,0.0,0.0,-13780831.8737,4789572.9864
8835,14620,83Q,seaplane_base,Port of Poulsbo Marina Moorage Seaplane Base,47.734001159668,-122.64700317383,0.0,,US,US-WA,Poulsbo,no,83Q,PUL,83Q,http://www.portofpoulsbo.com/seaplane-base/,,,,,12000.0,4000.0,WATER,0.0,0.0,-13653001.9407,6062715.6426
8847,14633,84CL,heliport,Century City Heliport,34.060798645,-118.417999268,473.0,,US,US-CA,Los Angeles,no,84CL,CCD,84CL,,,,,,100.0,50.0,CONC,0.0,0.0,-13182231.3793,4036968.7232
8856,14642,84K,seaplane_base,Meyers Chuck Seaplane Base,55.7396011353,-132.255004883,0.0,,US,US-AK,Meyers Chuck,no,84K,WMK,84K,,,,,,7000.0,200.0,WATER,0.0,0.0,-14722559.7984,7506751.2913
10021,3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28.0,OC,SB,SB-GU,Honiara,yes,AGGH,HIR,,,https://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field,INFO,118.1,7218.0,148.0,ASP,1.0,0.0,17817240.3197,-1054288.7107
10022,4,AGGM,medium_airport,Munda Airport,-8.32797,157.263,10.0,OC,SB,SB-WE,Munda,yes,AGGM,MUA,,,https://en.wikipedia.org/wiki/Munda_Airport,,INFO,118.1,4593.0,98.0,ASP,0.0,0.0,17506437.0806,-930347.043099999
10024,45229,AMC,small_airport,Mar de Cortés International Airport,31.351987,-113.305177,71.0,,MX,MX-SON,Puerto Peñasco,yes,MMPE,PPE,AMC,https://www.aeropuertomardecortes.com/,https://en.wikipedia.org/wiki/Mar_de_Cort%C3%A9s_International_Airport,,Tower not yet operational,122.8,8398.0,,concrete,0.0,0.0,-12613074.6079,3678546.2212
10025,8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22.0,OC,NR,NR-14,Yaren District,yes,ANYN,INU,,,https://en.wikipedia.org/wiki/Nauru_International_Airport,ANAU,Nauru Radio,118.1,7054.0,148.0,ASP,1.0,0.0,18581338.7516,-60943.6730999984
10026,35403,AR-0009,small_airport,Charata Airport,-27.2164,-61.2103,318.0,SA,AR,AR-H,Charata,no,,CNT,CHA,,,,Charata Traffic,123.5,3937.0,98.0,GRE,0.0,0.0,-6813899.4273,-3150534.182
10034,42884,AR-0462,small_airport,Termal Airport,-26.753611,-60.492222,308.0,SA,AR,AR-H,Presidencia Roque Sáenz Peña,no,SARS,PRQ,PSP,,,,,118.9,5905.0,108.0,Concrete,1.0,0.0,-6733963.35,-3092722.2803
10047,53,AYBK,medium_airport,Buka Airport,-5.4223198890686,154.673004150391,11.0,OC,PG,PG-NSB,Buka Island,yes,AYBK,BUA,,,https://en.wikipedia.org/wiki/Buka_Airport,,LAE RDO,127.1,5125.0,98.0,ASP,1.0,0.0,17218120.0614,-604512.922699999
10048,55,AYDU,medium_airport,Daru Airport,-9.08676,143.207993,20.0,OC,PG,PG-WPD,Daru,yes,AYDU,DAU,,,https://en.wikipedia.org/wiki/Daru_Airport,,MORESBY CNTR,124.9,4593.0,98.0,ASP,0.0,0.0,15941840.8583,-1015800.7075
10049,56,AYGA,medium_airport,Goroka Airport,-6.08168983459,145.391998291,5282.0,OC,PG,PG-EHG,Goronka,yes,AYGA,GKA,,,https://en.wikipedia.org/wiki/Goroka_Airport,,TWR,118.7,3983.0,59.0,ASP,0.0,0.0,16184963.2152,-678285.5066
10050,57,AYGN,medium_airport,Gurney Airport,-10.3114995956,150.333999634,88.0,OC,PG,PG-MBA,Gurney,yes,AYGN,GUR,,,https://en.wikipedia.org/wiki/Gurney_Airport,,MORESBY CNTR,124.1,5546.0,98.0,ASP,1.0,0.0,16735104.2882,-1154117.9458
10051,59,AYHK,medium_airport,Hoskins Airport,-5.463846,150.407327,66.0,OC,PG,PG-WBK,Kimbe,yes,AYHK,HKN,,,https://en.wikipedia.org/wiki/Hoskins_Airport,,NADZAB CNTR,127.1,6644.0,98.0,ASP,1.0,0.0,16743267.0532,-609156.526700001
10052,60,AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10.0,OC,PG,PG-GPK,Kerema,yes,AYKM,KMA,,,https://en.wikipedia.org/wiki/Kerema_Airport,,MORESBY,120.9,3044.0,60.0,ASP,0.0,0.0,16227153.0576,-889373.225699998
10053,61,AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7.0,OC,PG,PG-NIK,Kavieng,yes,AYKV,KVG,,,https://en.wikipedia.org/wiki/Kavieng_Airport,,LAE,127.1,5592.0,98.0,ASP,1.0,0.0,16787869.618,-287234.5416
10054,62,AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,20.0,OC,PG,PG-MPM,Madang,yes,AYMD,MAG,,,https://en.wikipedia.org/wiki/Madang_Airport,,ATIS,127.8,5174.0,105.0,ASP,1.0,0.0,16229157.4063,-580449.0495
10055,63,AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.828212,144.299412,5388.0,OC,PG,PG-WHM,Mount Hagen,yes,AYMH,HGU,,,https://en.wikipedia.org/wiki/Mount_Hagen_Airport,,ATIS,128.4,3599.0,59.0,ASP,0.0,0.0,16063337.0656,-649915.367899999
10056,65,AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12.0,OC,PG,PG-MRL,Manus Island,yes,AYMO,MAS,,,https://en.wikipedia.org/wiki/Momote_Airport,,AWIS,129.35,6136.0,148.0,ASP,1.0,0.0,16411164.1654,-229578.102600001
10057,66,AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,239.0,OC,PG,PG-MPL,Lae,yes,AYNZ,LAE,,,https://en.wikipedia.org/wiki/Lae_Nadzab_Airport,MFO,APP,118.6,7999.0,148.0,ASP,1.0,0.0,16333461.0458,-732955.036899999
10058,67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.44338035583496,147.220001220703,146.0,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM,,,https://en.wikipedia.org/wiki/Jacksons_International_Airport,,JACKSONS APP,125.8,9022.0,148.0,ASP,1.0,0.0,16388455.5705,-1056024.3266
10059,68,AYTK,medium_airport,Tokua Airport,-4.34046,152.380005,49.0,OC,PG,PG-EBR,Kokopo,yes,AYTK,RAB,,,https://en.wikipedia.org/wiki/Rabaul_Airport,,LAE RDO,127.1,5643.0,98.0,ASP,1.0,0.0,16962864.5637,-483640.610100001
10060,69,AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,10.0,OC,PG,PG-SAN,Vanimo,yes,AYVN,VAI,,,https://en.wikipedia.org/wiki/Vanimo_Airport,,MADANG FIS,126.7,5775.0,85.0,ASP,1.0,0.0,15729755.7437,-299849.250999998
10061,71,AYWK,medium_airport,Wewak International Airport,-3.58383011818,143.669006348,19.0,OC,PG,PG-ESW,Wewak,yes,AYWK,WWK,,,https://en.wikipedia.org/wiki/Wewak_International_Airport,,ATIS,128.2,5234.0,98.0,ASP,1.0,0.0,15993160.6294,-399210.544399999
10064,113,BGBW,medium_airport,Narsarsuaq Airport,61.1605,-45.425999,112.0,,GL,GL-KU,Narsarsuaq,yes,BGBW,UAK,,,https://en.wikipedia.org/wiki/Narsarsuaq_Airport,Mittarfik Narsarsuaq,AFIS,119.1,6004.0,148.0,CON,1.0,0.0,-5056799.0775,8662769.8684
10065,30839,BGCO,small_airport,Neerlerit Inaat Airport,70.743103,-22.650499,45.0,,GL,GL-SE,Neerlerit Inaat,yes,BGCO,CNP,,,https://en.wikipedia.org/wiki/Nerlerit_Inaat_Airport,"Constable Point, Mittarfik Nerlerit Inaat, Constable Pynt Lufthavn",AFIS,118.1,3281.0,98.0,GVL,1.0,0.0,-2521442.0149,11314999.6659
10066,114,BGGH,medium_airport,Nuuk Airport,64.193022,-51.676512,283.0,,GL,GL-SE,Nuuk,yes,BGGH,GOH,,,https://en.wikipedia.org/wiki/Nuuk_Airport,"Godthåb, Nuussuaq, Mittarfik Nuuk",AFIS,119.1,2930.0,98.0,ASPH,1.0,0.0,-5752603.0018,9398950.1284
10067,35295,BGNS,heliport,Narsaq Heliport,60.917283,-46.059923,83.0,,GL,GL-KU,Narsaq,yes,BGNS,JNS,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/narsaq/,https://en.wikipedia.org/wiki/Narsaq_Heliport,Nordprøven,NARSAQ HIS,118.1,197.0,66.0,ASP,0.0,0.0,-5127367.1743,8606854.8322
10068,32004,BGQQ,small_airport,Qaanaaq Airport,77.488602,-69.388702,51.0,,GL,GL-AV,Qaanaaq,yes,BGQQ,NAQ,,,https://en.wikipedia.org/wiki/Qaanaaq_Airport,"Mittarfik Qaanaaq, Thule",Aerodrome Flight Information Service,118.1,2953.0,98.0,GVL,0.0,0.0,-7724314.9734,14100462.4026
10069,115,BGSF,medium_airport,Kangerlussuaq Airport,67.010446,-50.715294,165.0,,GL,GL-QA,Kangerlussuaq,yes,BGSF,SFJ,,,https://en.wikipedia.org/wiki/Kangerlussuaq_Airport,"Bluie West 8, Sondrestrom Air Base, Sondrestromfjord Air Base",APP/DEP,126.2,9219.0,197.0,ASP,1.0,0.0,-5645600.7035,10159035.4324
10070,31700,BGSS,medium_airport,Sisimiut Airport,66.951302,-53.729301,33.0,,GL,GL-QA,Sisimiut,yes,BGSS,JHS,,https://www.mit.gl/en/todays-flights/airports/sisimiut-airport/,https://en.wikipedia.org/wiki/Sisimiut_Airport,,SISIMIUT AFIS,118.1,2621.0,98.0,ASP,1.0,0.0,-5981118.428,10142198.5085
10071,116,BGTL,medium_airport,Pituffik Space Base,76.531197,-68.703201,251.0,,GL,GL-AV,Pituffik,yes,BGTL,THU,,,https://en.wikipedia.org/wiki/Pituffik_Space_Base,Thule Air Base,EMERG CW FREQUENCY,836.4,9997.0,140.0,ASPH,0.0,0.0,-7648005.3512,13626112.2141
10072,31713,BGUK,small_airport,Upernavik Airport,72.790199,-56.1306,414.0,,GL,GL-AV,Upernavik,yes,BGUK,JUV,,,https://en.wikipedia.org/wiki/Upernavik_Airport,Mittarfik Upernavik,Upernavik AFIS,118.1,2621.0,98.0,ASP,1.0,0.0,-6248429.8099,12044071.3329
10073,117,BIAR,medium_airport,Akureyri Airport,65.6600036621094,-18.0727005004883,6.0,EU,IS,IS-6,Akureyri,yes,BIAR,AEY,,,https://en.wikipedia.org/wiki/Akureyri_Airport,,REYKJAVIK ACC,119.7,7874.0,148.0,ASP,1.0,0.0,-2011843.8169,9784406.6364
10074,118,BIBD,small_airport,Bildudalur Airport,65.6412963867188,-23.546199798584,18.0,EU,IS,IS-4,Bildudalur,no,BIBD,BIU,,,,,REYKJAVIK ACC,119.7,3084.0,98.0,BIT,1.0,0.0,-2621150.9717,9779355.7307
10075,119,BIEG,medium_airport,Egilsstaðir Airport,65.2833023071289,-14.4013996124268,76.0,EU,IS,IS-7,Egilsstaðir,yes,BIEG,EGS,,,https://en.wikipedia.org/wiki/Egilssta%C3%B0ir_Airport,,REYKJAVIK ACC,119.7,6562.0,148.0,ASP,1.0,0.0,-1603156.4715,9683393.3369
10076,120,BIHN,medium_airport,Hornafjörður Airport,64.295601,-15.2272,24.0,EU,IS,IS-8,Höfn,yes,BIHN,HFN,,,https://en.wikipedia.org/wiki/Hornafj%C3%B6r%C3%B0ur_Airport,,REYKJAVIK CON,119.7,4921.0,148.0,BIT,1.0,0.0,-1695084.1502,9425228.944
10077,121,BIHU,medium_airport,Húsavík Airport,65.952301,-17.426001,48.0,EU,IS,IS-6,Húsavík,yes,BIHU,HZK,,,https://en.wikipedia.org/wiki/H%C3%BAsav%C3%ADk_Airport,,REYKJAVIK ACC,119.7,5266.0,157.0,BIT,1.0,0.0,-1939853.5579,9863803.3755
10078,122,BIIS,medium_airport,Ísafjörður Airport,66.0580978393555,-23.1352996826172,8.0,EU,IS,IS-4,Ísafjörður,yes,BIIS,IFJ,,,https://en.wikipedia.org/wiki/%C3%8Dsafj%C3%B6r%C3%B0ur_Airport,,REYKJAVIK ACC,119.7,4593.0,148.0,BIT,1.0,0.0,-2575409.7801,9892764.7932
10079,123,BIKF,large_airport,Keflavik International Airport,63.985001,-22.6056,171.0,EU,IS,IS-2,Reykjavík,yes,BIKF,KEF,,https://www.isavia.is/en/keflavik-airport,https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,"Keflavik Naval Air Station,REK",AIR GND,131.9,10020.0,197.0,ASP,1.0,0.0,-2516443.8811,9345956.3662
